id;clusters_0;clusters_1
pub.1028394867;5;4
pub.1028406581;93;3
pub.1028430820;22;18
pub.1028435330;9;8
pub.1028443759;110;61
pub.1028448517;22;18
pub.1028451403;9;8
pub.1028452006;9;8
pub.1028457737;138;88
pub.1028475921;9;8
pub.1028476266;57;38
pub.1028486046;23;19
pub.1028497751;371;5
pub.1028498663;68;47
pub.1028515842;5;4
pub.1028517049;31;24
pub.1028521367;0;0
pub.1028530405;57;38
pub.1028578024;59;42
pub.1028595816;0;0
pub.1028605065;28;22
pub.1028608744;4;3
pub.1028615693;9;8
pub.1028637339;4;3
pub.1028654336;6;5
pub.1028655701;12;10
pub.1028670998;58;41
pub.1028677011;49;2
pub.1028677104;45;23
pub.1028692292;9;8
pub.1028693849;5;4
pub.1028742512;5;4
pub.1028746225;70;1
pub.1028751002;54;38
pub.1028760646;15;12
pub.1028766065;6;5
pub.1028780036;27;21
pub.1028797887;5;4
pub.1028798619;26;4
pub.1028800528;6;5
pub.1028817512;9;8
pub.1028828822;50;18
pub.1028853892;82;56
pub.1028865415;41;4
pub.1028868665;57;38
pub.1028879251;9;8
pub.1028921412;0;0
pub.1028931081;58;41
pub.1028956624;5;4
pub.1028985088;23;19
pub.1028990764;23;19
pub.1028994475;20;3
pub.1028996850;65;23
pub.1029030933;30;23
pub.1028265406;21;17
pub.1028266051;95;64
pub.1028286456;9;8
pub.1028305043;13;4
pub.1028324140;108;38
pub.1028337567;22;18
pub.1028349033;9;8
pub.1028357080;54;38
pub.1028387187;3;2
pub.1028388596;13;4
pub.1028390907;108;38
pub.1028394609;5;4
pub.1028430187;13;4
pub.1028465927;48;34
pub.1028475501;12;10
pub.1028475976;9;8
pub.1028503367;21;17
pub.1028528638;68;47
pub.1028540434;29;4
pub.1028548422;13;4
pub.1028555108;47;21
pub.1028578066;9;8
pub.1028580073;9;8
pub.1028598966;9;8
pub.1028601303;22;18
pub.1028609807;9;8
pub.1028678583;3;2
pub.1028687458;9;8
pub.1028720731;9;8
pub.1028728553;23;19
pub.1028739260;224;143
pub.1028742426;3;2
pub.1028744257;15;12
pub.1028746176;13;4
pub.1028747942;23;19
pub.1028751509;9;8
pub.1028754579;6;5
pub.1028757026;0;0
pub.1028759912;9;8
pub.1028763293;23;19
pub.1028775462;68;47
pub.1028778346;30;23
pub.1028779177;13;4
pub.1028829855;15;12
pub.1028855090;26;4
pub.1028858159;170;110
pub.1028858851;70;1
pub.1028868908;57;38
pub.1028871973;382;248
pub.1028872778;175;25
pub.1028901767;26;4
pub.1028930283;22;18
pub.1028930802;5;4
pub.1028931922;13;4
pub.1028942055;9;8
pub.1028954083;110;61
pub.1028954961;42;32
pub.1028962839;29;4
pub.1028963195;22;18
pub.1028963849;95;64
pub.1028976212;110;61
pub.1028977837;5;4
pub.1028990255;5;4
pub.1029019021;30;23
pub.1029030786;6;5
pub.1029033911;6;5
pub.1029137650;1;0
pub.1029138155;9;8
pub.1029138474;9;8
pub.1029139519;3;2
pub.1029161242;9;8
pub.1028335548;41;4
pub.1028338549;0;0
pub.1028353109;23;19
pub.1028404577;14;11
pub.1028419208;5;4
pub.1028420629;15;12
pub.1028435824;12;10
pub.1028465846;26;4
pub.1028475756;26;4
pub.1028494407;22;18
pub.1028509923;14;11
pub.1028511032;29;4
pub.1028511573;26;4
pub.1028515463;13;4
pub.1028527372;6;5
pub.1028535089;57;38
pub.1028538463;3;2
pub.1028559329;122;5
pub.1028593980;28;22
pub.1028615593;9;8
pub.1028630045;5;4
pub.1028640882;5;4
pub.1028662287;54;38
pub.1028662969;9;8
pub.1028681527;13;4
pub.1028696697;30;23
pub.1028718880;108;38
pub.1028735232;59;42
pub.1028737366;33;25
pub.1028761160;122;5
pub.1028763721;5;4
pub.1028797868;0;0
pub.1028811331;68;47
pub.1028820766;13;4
pub.1028829982;1;0
pub.1028853310;0;0
pub.1028860190;110;61
pub.1028862812;91;62
pub.1028868325;57;38
pub.1028892364;21;17
pub.1028902268;9;8
pub.1028902956;108;38
pub.1028908701;41;4
pub.1028914358;5;4
pub.1028927162;54;38
pub.1028933176;20;3
pub.1028942981;9;8
pub.1028952995;3;2
pub.1028961818;81;15
pub.1028982074;45;23
pub.1028987567;31;24
pub.1028995057;10;5
pub.1029004298;13;4
pub.1029017779;5;4
pub.1029046783;0;0
pub.1029049529;9;8
pub.1029061669;30;23
pub.1029065542;78;53
pub.1029083125;30;23
pub.1029106314;13;4
pub.1029126581;9;8
pub.1029135257;9;8
pub.1029135280;21;17
pub.1029136916;9;8
pub.1029138777;9;8
pub.1029172853;9;8
pub.1029175125;9;8
pub.1029203772;42;32
pub.1029221459;12;10
pub.1029241375;21;17
pub.1029286065;5;4
pub.1027330211;47;21
pub.1027333787;62;32
pub.1027372974;9;8
pub.1027375674;54;38
pub.1027396277;26;4
pub.1027412874;29;4
pub.1027413135;95;64
pub.1027424419;72;27
pub.1027447467;0;0
pub.1027452538;9;8
pub.1027469128;103;8
pub.1027473088;9;8
pub.1027475451;36;27
pub.1027486467;9;8
pub.1027500238;10;5
pub.1027510400;98;10
pub.1027520881;21;17
pub.1027527444;41;4
pub.1027532247;22;18
pub.1027551857;15;12
pub.1027562133;13;4
pub.1027563516;9;8
pub.1027605708;13;4
pub.1027650137;45;23
pub.1027688235;5;4
pub.1027689840;65;23
pub.1027692316;6;5
pub.1027693302;30;23
pub.1027697814;65;23
pub.1027745076;36;27
pub.1027754785;45;23
pub.1027760314;30;23
pub.1027780108;55;39
pub.1027789525;26;4
pub.1027790676;95;64
pub.1027794635;23;19
pub.1027807258;9;8
pub.1027835598;45;23
pub.1027840653;50;18
pub.1027845431;30;23
pub.1027845896;3;2
pub.1027848764;94;63
pub.1027857196;12;10
pub.1027870052;9;8
pub.1027883561;131;67
pub.1027887344;12;10
pub.1027890932;0;0
pub.1027905423;84;57
